ipcphase,livelihoodsystem,season,fcspoor,fcs_acceptable,hddscrisis34,hhscrisis,livcopcrisis,populationgroup,rcsicrisis,ipc_phase_num,ipc_score,expected_min,expected_max,population_type,behavioral_stress,behavioral_level,crisis_trigger,trigger_type,ipc_gap_score,gap_status,mismatch_type,donor_action,policy_typology,data_confidence
Stressed,Urban,Gu,17.7,43.4,37.6,9.699999999999999,8.800000000000001,Bossaso Urban,0,2,40,20,34,Urban,15,Low,0,No severe trigger,-19,Official IPC more severe than household signals,Diet concern without severe coping,Verify possible improvement and retargeting,Diet quality collapse zone,High
Crisis,Urban,Gu,.8,95.5,7.7,37,9.300000000000001,Kismayo Urban,15.4,3,65,35,49,Urban,14,Low,1,Hunger trigger,-35,Official IPC more severe than household signals,Hidden vulnerability: acceptable consumption but severe coping,Verify possible improvement and retargeting,Hunger hotspot,High
Crisis,IDPs,Gu,.9,85.09999999999999,1.8,32.5,27.6,Garowe IDPs,0,3,65,35,49,IDPs,13,Low,1,Hunger trigger,-36,Official IPC more severe than household signals,Hidden vulnerability: acceptable consumption but severe coping,Verify possible improvement and retargeting,Hunger hotspot,High
Stressed,Urban,Gu,36,48.8,7.7,11.6,2.5,Hargeisa Urban,4.2,2,40,20,34,Urban,12,Low,0,No severe trigger,-22,Official IPC more severe than household signals,Diet concern without severe coping,Verify possible improvement and retargeting,Food consumption deficit zone,High
Stressed,Pastoral,Gu,3.9,84.40000000000001,3.1,17.2,9.4,Guban Pastoral,19.1,2,40,20,34,Pastoral,11,Low,0,No severe trigger,-23,Official IPC more severe than household signals,Currently stable but requires monitoring,Verify possible improvement and retargeting,Monitoring priority,High
Stressed,Pastoral,Gu,6.6,64.5,15.4,6.2,19.7,West Golis Pastoral,0,2,40,20,34,Pastoral,10,Low,0,No severe trigger,-24,Official IPC more severe than household signals,Currently stable but requires monitoring,Verify possible improvement and retargeting,Monitoring priority,High
Crisis,Pastoral,Gu,7.5,64.5,19.7,14.5,4.4,Northeast Northern Inland Pastoral (NIP),0,3,65,35,49,Pastoral,9,Low,0,No severe trigger,-40,Official IPC more severe than household signals,Currently stable but requires monitoring,Verify possible improvement and retargeting,Monitoring priority,High
Emergency,Urban,Gu,0,100,0,35.5,1.6,Beletweyne Urban,8.1,4,85,50,69,Urban,9,Low,1,Hunger trigger,-60,Official IPC more severe than household signals,Hidden vulnerability: acceptable consumption but severe coping,Verify possible improvement and retargeting,Emergency response priority,High
Stressed,Urban,Gu,0,96.5,0,28.7,3,Garowe Urban,0,2,40,20,34,Urban,6,Low,0,No severe trigger,-28,Official IPC more severe than household signals,Hidden vulnerability: acceptable consumption but severe coping,Verify possible improvement and retargeting,Monitoring priority,High
Crisis,Agropastoral,Gu,2.2,77.7,10.5,7.7,5.6,Northwest Agropastoral,.9,3,65,35,49,Agropastoral,5,Low,0,No severe trigger,-44,Official IPC more severe than household signals,Currently stable but requires monitoring,Verify possible improvement and retargeting,Monitoring priority,High
Stressed,Pastoral,Gu,1.7,62.7,1.3,9.9,1.3,Northwest Hawd Pastoral,0,2,40,20,34,Pastoral,3,Low,0,No severe trigger,-31,Official IPC more severe than household signals,Currently stable but requires monitoring,Verify possible improvement and retargeting,Monitoring priority,High
Crisis,Pastoral,Gu,.4,94.2,1.2,0,0,Northwest Northern Inland Pastoral (NIP),1.5,3,65,35,49,Pastoral,1,Low,0,No severe trigger,-48,Official IPC more severe than household signals,Currently stable but requires monitoring,Verify possible improvement and retargeting,Monitoring priority,High
